"Speaker","Date","word_sum","utterances","mlu"
"MOT","1964-02-12",239,78,3.06410256410256
"MOT","1964-02-22",168,56,3
"MOT","1964-02-28",1177,357,3.296918767507
"MOT","1964-03-04",502,121,4.14876033057851
"MOT","1964-03-11",678,196,3.45918367346939
"MOT","1964-03-20",1239,333,3.72072072072072
"MOT","1964-03-25",700,193,3.62694300518135
"MOT","1964-04-17",1653,418,3.95454545454545
"MOT","1964-05-07",393,97,4.05154639175258
"MOT","1964-05-12",3533,775,4.55870967741935
"MOT","1964-05-21",1458,342,4.26315789473684
"MOT","1964-05-28",1394,386,3.61139896373057
"MOT","1964-06-12",1034,269,3.84386617100372
"MOT","1964-06-16",1104,307,3.59609120521173
"MOT","1964-06-25",1042,303,3.43894389438944
"MOT","1964-07-09",1238,322,3.84472049689441
"MOT","1964-07-15",923,246,3.7520325203252
"MOT","1964-07-22",739,200,3.695
"MOT","1964-08-10",1694,451,3.75609756097561
"MOT","1964-08-19",471,153,3.07843137254902
"MOT","1964-08-26",1270,333,3.81381381381381
"MOT","1964-09-02",479,117,4.09401709401709
"MOT","1964-09-09",1036,251,4.12749003984064
"MOT","1964-09-16",937,217,4.31797235023041
"MOT","1964-10-08",667,158,4.22151898734177
"MOT","1964-10-15",894,227,3.93832599118943
"MOT","1964-10-29",1916,453,4.22958057395144
"MOT","1964-11-06",1148,304,3.77631578947368
"MOT","1964-11-12",809,207,3.90821256038647
"MOT","1964-11-19",1527,348,4.38793103448276
"MOT","1964-12-01",989,238,4.15546218487395
"MOT","1964-12-08",1422,344,4.13372093023256
"MOT","1964-12-24",1524,333,4.57657657657658
"MOT","1964-12-30",2242,532,4.21428571428571
"MOT","1965-01-12",1011,259,3.9034749034749
"MOT","1965-01-29",1012,320,3.1625
"MOT","1965-02-08",930,246,3.78048780487805
"MOT","1965-02-15",924,234,3.94871794871795
"MOT","1965-02-22",681,179,3.80446927374302
"MOT","1965-03-01",780,197,3.95939086294416
"MOT","1965-03-08",1062,237,4.48101265822785
"MOT","1965-03-15",1209,270,4.47777777777778
"MOT","1965-03-22",1070,260,4.11538461538461
"MOT","1965-03-29",1256,304,4.13157894736842
"MOT","1965-04-05",1642,364,4.51098901098901
"MOT","1965-04-12",803,223,3.60089686098655
"MOT","1965-04-19",718,189,3.7989417989418
"MOT","1965-04-26",1021,271,3.76752767527675
"MOT","1965-05-10",350,97,3.60824742268041
"MOT","1965-05-18",2517,528,4.76704545454545
"MOT","1965-05-24",784,216,3.62962962962963
"MOT","1965-06-01",1366,273,5.003663003663
"MOT","1965-06-08",1284,299,4.2943143812709
"MOT","1965-06-22",509,149,3.41610738255034
"MOT","1965-07-01",168,36,4.66666666666667
"MOT","1965-07-08",1620,315,5.14285714285714
"MOT","1965-07-21",1108,245,4.52244897959184
"MOT","1965-07-28",1201,323,3.71826625386997
"MOT","1965-08-06",1023,212,4.82547169811321
"MOT","1965-08-20",578,145,3.98620689655172
"MOT","1965-09-03",1087,212,5.12735849056604
"MOT","1965-09-10",1027,231,4.44588744588745
"MOT","1965-09-20",1287,221,5.82352941176471
"MOT","1965-09-24",1065,226,4.71238938053097
"MOT","1965-10-01",662,139,4.76258992805755
"MOT","1965-10-08",1376,281,4.89679715302491
"MOT","1965-10-15",669,135,4.95555555555556
"MOT","1965-10-29",990,193,5.12953367875648
"MOT","1965-11-05",1118,175,6.38857142857143
"MOT","1965-12-17",586,124,4.7258064516129
"MOT","1965-12-18",1358,392,3.46428571428571
"MOT","1965-12-27",968,189,5.12169312169312
"MOT","1965-12-31",912,178,5.12359550561798
"MOT","1966-01-07",669,146,4.58219178082192
"MOT","1966-01-14",900,175,5.14285714285714
"MOT","1966-01-21",769,191,4.0261780104712
"MOT","1966-01-28",1193,230,5.18695652173913
"MOT","1966-02-04",445,102,4.36274509803922
"MOT","1966-02-16",1303,282,4.62056737588652
"MOT","1966-02-23",1191,259,4.5984555984556
"MOT","1966-03-03",816,149,5.47651006711409
"MOT","1966-03-16",1321,238,5.55042016806723
"MOT","1966-03-30",530,121,4.3801652892562
"MOT","1966-04-06",845,158,5.34810126582278
"MOT","1966-05-04",1449,248,5.84274193548387
"MOT","1966-05-11",748,153,4.88888888888889
"MOT","1966-05-18",134,38,3.52631578947368
"MOT","1966-05-29",678,136,4.98529411764706
"MOT","1966-06-13",1022,197,5.18781725888325
"MOT","1966-07-11",883,182,4.85164835164835
"MOT","1966-07-18",1256,249,5.04417670682731
"MOT","1966-07-25",775,178,4.35393258426966
"MOT","1966-08-02",781,168,4.64880952380952
"MOT","1966-08-22",178,44,4.04545454545455
"MOT","1966-08-29",129,26,4.96153846153846
"MOT",NA,15446,3430,4.50320699708455
